image_number,total_cell_count,positive_cell_count,negative_cell_count,p_enriched_positive,p_enriched_negative,enriched_score_positive,training_total_cell_count,training_positive_cell_count,training_negative_cell_count,Image_Metadata_image,Image_Metadata_scene,Image_Metadata_slide,days_conf,edu_status
1,403,70,333,0.832862873277321,0.16713712672270423,0.697500570990628,0,0,0,001,s1,slide1,0,pos
2,290,46,244,0.8028345401280393,0.1971654598721368,0.6097952126913783,0,0,0,002,s1,slide1,0,pos
3,389,44,345,0.693071072290893,0.306928927724909,0.35373995031749117,0,0,0,003,s1,slide1,0,pos
4,373,79,294,0.887196124302063,0.11280387569836836,0.8956956146131577,0,0,0,004,s1,slide1,0,pos
5,374,58,316,0.7975640521754087,0.2024359478250095,0.5954779357953851,0,0,0,005,s1,slide1,0,pos
6,469,56,413,0.7124137188781925,0.2875862811273134,0.3939641092071446,0,0,0,006,s1,slide1,0,pos
7,545,63,482,0.7019737559989291,0.29802624400921446,0.3720663664380298,0,0,0,007,s1,slide1,0,pos
8,494,41,453,0.5886938766943614,0.41130612330609856,0.1557243434156428,0,0,0,008,s1,slide1,0,pos
9,426,54,372,0.7322062151570004,0.26779378484588445,0.4368329176016522,0,0,0,009,s1,slide1,0,pos
10,458,47,411,0.6605077201030991,0.33949227993747033,0.2890479952624976,0,0,0,010,s1,slide1,0,pos
11,537,60,477,0.6902739984054941,0.30972600160635433,0.3480438484248778,0,0,0,011,s1,slide1,0,pos
12,535,71,464,0.7486671395505095,0.25133286045019754,0.4740394974971822,1,1,0,012,s1,slide1,0,pos
13,463,114,349,0.9231360799760604,0.0768639200241245,1.079543195815002,0,0,0,013,s1,slide1,0,pos
14,364,76,288,0.8834102074013316,0.11658979259951566,0.8795018832898367,0,0,0,014,s1,slide1,0,pos
15,284,56,228,0.8665581400269348,0.1334418599732464,0.8125056194390253,0,0,0,015,s1,slide1,0,pos
16,301,58,243,0.8606999990315289,0.1393000009685607,0.7909006830336291,0,0,0,016,s1,slide1,0,pos
17,351,81,270,0.9075382914437692,0.0924617085558703,0.9919030438302106,0,0,0,017,s1,slide1,0,pos
18,381,88,293,0.9082019098947576,0.09179809010550888,0.9953487652308246,0,0,0,018,s1,slide1,0,pos
19,317,66,251,0.881777188421032,0.11822281157886014,0.8726575758938733,0,0,0,019,s1,slide1,0,pos
20,306,57,249,0.8513361118814516,0.14866388811888567,0.7578955685927076,0,0,0,020,s1,slide1,0,pos
21,230,62,168,0.9370303641515176,0.06296963584830804,1.172622482484017,0,0,0,021,s1,slide1,0,pos
22,221,51,170,0.9040943185015796,0.09590568149858496,0.974369404318429,0,0,0,022,s1,slide1,0,pos
23,240,53,187,0.8943556907678099,0.10564430923182412,0.9276641669706642,0,0,0,023,s1,slide1,0,pos
24,354,72,282,0.8764238448280051,0.12357615517183156,0.8507795060080785,0,0,0,024,s1,slide1,0,pos
25,413,85,328,0.8804287457541043,0.11957125424579204,0.8670674288949596,0,0,0,025,s1,slide1,0,pos
26,301,79,222,0.9337777217235288,0.06622227827653797,1.149239390311828,0,0,0,026,s1,slide1,0,pos
27,266,60,206,0.9003167565803342,0.0996832434199094,0.9557731729553824,0,0,0,027,s1,slide1,0,pos
28,421,96,325,0.905765467227842,0.09423453277228022,0.9828056773579282,0,0,0,028,s1,slide1,0,pos
29,515,117,398,0.9058139801189554,0.094186019882153,0.9830525743563842,0,0,0,029,s1,slide1,0,pos
30,475,64,411,0.7531843120308314,0.24681568796980743,0.48452850494432753,0,0,0,030,s1,slide1,0,pos
31,472,72,400,0.7936443943395788,0.2063556056613557,0.585009682089374,0,0,0,031,s1,slide1,0,pos
32,407,68,339,0.8212204245875396,0.178779575412558,0.6621418406511542,0,0,0,032,s1,slide1,0,pos
33,412,47,365,0.6962600970085376,0.30373990300474324,0.3602696563638904,0,0,0,033,s1,slide1,0,pos
34,446,65,381,0.7786766862690097,0.22132331373156408,0.5463300080282957,0,0,0,034,s1,slide1,0,pos
35,395,78,317,0.8692124930959052,0.13078750690412752,0.8225596985071177,0,0,0,035,s1,slide1,0,pos
36,392,89,303,0.9043867311840228,0.09561326881657048,0.9758360158581926,0,0,0,036,s1,slide1,0,pos
