dox,strain,gain_per_week
Induced,23,0.08354716716159345
Induced,30,-0.07637767133826258
Induced,50,0.19130903831981672
Induced,53,0.09062957205981943
Induced,60,0.1464078486608429
Induced,64,0.13479910646348828
Induced,7,-0.10126090661397312
Induced,78,-0.061839886104452554
Non-induced,23,0.8852910082257082
Non-induced,30,0.7994552018119094
Non-induced,50,1.372079162012852
Non-induced,53,0.8848504015219674
Non-induced,60,0.917300189730804
Non-induced,64,0.5364186794937467
Non-induced,7,0.9156756475295608
Non-induced,78,0.6517994606197148
