dox,days,repeats,unique_id,rel_height
Induced,0,104,S-22-107_RPE1_481_30.fsa,0.06258890469416785
Induced,0,105,S-22-107_RPE1_481_30.fsa,0.05832147937411095
Induced,0,106,S-22-107_RPE1_481_30.fsa,0.07539118065433854
Induced,0,107,S-22-107_RPE1_481_30.fsa,0.08392603129445235
Induced,0,108,S-22-107_RPE1_481_30.fsa,0.07823613086770982
Induced,0,109,S-22-107_RPE1_481_30.fsa,0.09388335704125178
Induced,0,110,S-22-107_RPE1_481_30.fsa,0.12802275960170698
Induced,0,111,S-22-107_RPE1_481_30.fsa,0.1891891891891892
Induced,0,112,S-22-107_RPE1_481_30.fsa,0.31436699857752487
Induced,0,113,S-22-107_RPE1_481_30.fsa,0.5120910384068279
Induced,0,114,S-22-107_RPE1_481_30.fsa,0.7837837837837838
Induced,0,115,S-22-107_RPE1_481_30.fsa,0.972972972972973
Induced,0,116,S-22-107_RPE1_481_30.fsa,1
Induced,0,117,S-22-107_RPE1_481_30.fsa,0.9018492176386913
Induced,0,118,S-22-107_RPE1_481_30.fsa,0.6002844950213371
Induced,0,119,S-22-107_RPE1_481_30.fsa,0.3669985775248933
Induced,0,120,S-22-107_RPE1_481_30.fsa,0.1891891891891892
Induced,0,121,S-22-107_RPE1_481_30.fsa,0.10526315789473684
Induced,0,122,S-22-107_RPE1_481_30.fsa,0.05832147937411095
Induced,0,123,S-22-107_RPE1_481_30.fsa,0.04267425320056899
Induced,0,124,NA,0
Induced,28,104,S-22-173_CAG1Hu3.fsa,0.145985401459854
Induced,28,105,S-22-173_CAG1Hu3.fsa,0.20437956204379562
Induced,28,106,S-22-173_CAG1Hu3.fsa,0.19343065693430658
Induced,28,107,S-22-173_CAG1Hu3.fsa,0.18613138686131386
Induced,28,108,S-22-173_CAG1Hu3.fsa,0.18613138686131386
Induced,28,109,S-22-173_CAG1Hu3.fsa,0.17883211678832117
Induced,28,110,S-22-173_CAG1Hu3.fsa,0.22992700729927007
Induced,28,111,S-22-173_CAG1Hu3.fsa,0.26277372262773724
Induced,28,112,S-22-173_CAG1Hu3.fsa,0.3175182481751825
Induced,28,113,S-22-173_CAG1Hu3.fsa,0.4489051094890511
Induced,28,114,S-22-173_CAG1Hu3.fsa,0.6131386861313869
Induced,28,115,S-22-173_CAG1Hu3.fsa,0.8029197080291971
Induced,28,116,S-22-173_CAG1Hu3.fsa,0.9379562043795621
Induced,28,117,S-22-173_CAG1Hu3.fsa,1
Induced,28,118,S-22-173_CAG1Hu3.fsa,0.8795620437956204
Induced,28,119,S-22-173_CAG1Hu3.fsa,0.781021897810219
Induced,28,120,S-22-173_CAG1Hu3.fsa,0.5364963503649635
Induced,28,121,S-22-173_CAG1Hu3.fsa,0.4124087591240876
Induced,28,122,S-22-173_CAG1Hu3.fsa,0.27007299270072993
Induced,28,123,S-22-173_CAG1Hu3.fsa,0.20072992700729927
Induced,28,124,S-22-173_CAG1Hu3.fsa,0.14963503649635038
Non-induced,0,104,S-22-107_RPE1_481_30.fsa,0.06258890469416785
Non-induced,0,105,S-22-107_RPE1_481_30.fsa,0.05832147937411095
Non-induced,0,106,S-22-107_RPE1_481_30.fsa,0.07539118065433854
Non-induced,0,107,S-22-107_RPE1_481_30.fsa,0.08392603129445235
Non-induced,0,108,S-22-107_RPE1_481_30.fsa,0.07823613086770982
Non-induced,0,109,S-22-107_RPE1_481_30.fsa,0.09388335704125178
Non-induced,0,110,S-22-107_RPE1_481_30.fsa,0.12802275960170698
Non-induced,0,111,S-22-107_RPE1_481_30.fsa,0.1891891891891892
Non-induced,0,112,S-22-107_RPE1_481_30.fsa,0.31436699857752487
Non-induced,0,113,S-22-107_RPE1_481_30.fsa,0.5120910384068279
Non-induced,0,114,S-22-107_RPE1_481_30.fsa,0.7837837837837838
Non-induced,0,115,S-22-107_RPE1_481_30.fsa,0.972972972972973
Non-induced,0,116,S-22-107_RPE1_481_30.fsa,1
Non-induced,0,117,S-22-107_RPE1_481_30.fsa,0.9018492176386913
Non-induced,0,118,S-22-107_RPE1_481_30.fsa,0.6002844950213371
Non-induced,0,119,S-22-107_RPE1_481_30.fsa,0.3669985775248933
