unique_id,modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,n_peaks_total,n_peaks_analysis_subset,n_peaks_analysis_subset_expansions,min_repeat,max_repeat,mean_repeat,weighted_mean_repeat,median_repeat,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,percentile_1,percentile_5,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_95,percentile_99,expansion_percentile_1,expansion_percentile_5,expansion_percentile_10,expansion_percentile_20,expansion_percentile_30,expansion_percentile_40,expansion_percentile_50,expansion_percentile_60,expansion_percentile_70,expansion_percentile_80,expansion_percentile_90,expansion_percentile_95,expansion_percentile_99,well,sample_id,plate_id,cell_strain,day,indicies_baseline,repeat_control,repeat_control_length,d0_weighted_mean_repeat,allele_1,allele_2,genotype,well_status,weighted_repeat_gain,gene,gene_geno
0515plate_A01.fsa,127.6648801,8667,127.6648801,8667,66,10,4,121.6648801,130.6648801,126.1648801,126.9792617,126.1648801,8667,-6,3,-0.685618415,-0.685618415,1.577516015,0.881411743,1.487827391,1.487827391,-1.62250185,-6,-4.861587376,-3.914894217,-2.821583742,-2.074964961,-1.511119612,-0.970751125,-0.479035422,0.014235751,0.56626943,1.215400943,1.717959906,2.544203209,0,0,0,0,0,0,0.273834197,0.553134715,0.832435233,1.203443396,1.711981132,1.96625,2.769390374,A01,0515plate_A01,0515plate,MSH3_KO_c1,28,FALSE,FALSE,NA,126.8053591,FALSE,FALSE,hom_edited,peeling,0.173902592,MSH3,MSH3-/-
0515plate_A02.fsa,127.722699,10153,127.722699,10153,73,10,4,121.722699,130.722699,126.222699,127.1462263,126.222699,10153,-6,3,-0.576472782,-0.576472782,1.549638409,0.914693051,1.52851374,1.52851374,-1.566951741,-6,-4.793888137,-3.826402553,-2.714318976,-1.938576389,-1.380023148,-0.848074461,-0.372756821,0.116346369,0.655553073,1.336830918,1.803101449,2.653809182,0,0,0,0,0,0.012938547,0.299776536,0.586614525,0.873452514,1.277217391,1.773294686,2.079196557,2.815839311,A02,0515plate_A02,0515plate,MSH3_KO_c1,28,FALSE,FALSE,NA,126.8053591,FALSE,FALSE,hom_edited,conf,0.340867184,MSH3,MSH3-/-
0515plate_A03.fsa,143.8235786,2377,137.8235786,808,72,33,28,132.8235786,164.8235786,148.8235786,147.0197102,148.8235786,2377,-5,27,9.196131583,9.196131583,9.385316956,9.693633444,13.27976441,13.27976441,-1.469298246,-3.743604651,-0.630259901,1.088235294,3.240612648,4.881098901,6.37737442,7.897307859,9.537181996,11.47591106,14.06046512,17.89313472,20.80945419,24.8634,0,0.784082892,2.004202648,3.82243083,5.319688683,6.750189954,8.226325329,9.825244618,11.74867202,14.33432558,18.09376812,20.95292398,24.92228,A03,0515plate_A03,0515plate,MSH3_KO_c2,28,FALSE,FALSE,NA,138.9306484,TRUE,TRUE,wt,conf,8.0890618,MSH3,+/+
0515plate_A04.fsa,144.8711221,3061,137.8711221,1191,50,31,26,132.8711221,162.8711221,147.8711221,145.932104,147.8711221,3061,-5,25,8.060981924,8.060981924,8.314324044,8.668103556,12.11107481,12.11107481,-1.517766497,-4.153163636,-1.262642369,0.426456311,2.486887206,4.053706199,5.473127464,6.8640967,8.348443432,10.132111,12.49009836,16.03820483,18.88190476,23.03287449,0,0.494933252,1.564024976,3.212919343,4.609130728,5.937319317,7.261234991,8.706074412,10.48221011,12.79895082,16.30920598,19.0793956,23.12821862,A04,0515plate_A04,0515plate,MSH3_KO_c2,28,FALSE,FALSE,NA,138.9306484,TRUE,TRUE,wt,conf,7.001455635,MSH3,+/+
0515plate_A05.fsa,136.2458938,2968,131.2458938,1777,52,29,23,125.2458938,153.2458938,139.2458938,137.95869,139.2458938,2968,-6,22,6.712796164,6.712796164,7.181399246,7.666932087,12.11725067,12.11725067,-1.732404061,-5.204393443,-2.537859267,-0.852222847,1.244532488,2.848650568,4.330660377,5.79001368,7.352856055,9.065298678,11.12324386,14.03833333,16.27382271,19.82012698,0,0.078337182,0.977459584,2.468892045,3.829906542,5.148358413,6.509071118,7.967326733,9.617145463,11.58400914,14.41185185,16.5531856,19.94819048,A05,0515plate_A05,0515plate,MSH3_KO_c3,28,FALSE,FALSE,NA,NA,TRUE,TRUE,wt,conf,NA,MSH3,+/+
0515plate_A06.fsa,136.2458938,3916,131.2458938,2309,71,30,22,123.2458938,152.2458938,137.7458938,137.0257661,137.7458938,3916,-8,21,5.779872242,5.779872242,6.471450406,6.921358514,10.53396323,10.53396323,-2.158390411,-6.914956522,-3.337856328,-1.439355581,0.712561404,2.253563715,3.609169054,4.920071502,6.279641929,7.841548387,9.775757576,12.71820192,15.21673469,19.14681672,0,0,0.774631579,2.142926566,3.349596249,4.51578141,5.685635793,6.957320243,8.458252077,10.32501268,13.18864266,15.61585034,19.33546624,A06,0515plate_A06,0515plate,MSH3_KO_c3,28,FALSE,FALSE,NA,NA,TRUE,TRUE,wt,conf,NA,MSH3,+/+
0515plate_A07.fsa,162.9752585,4448,162.9752585,4448,59,13,5,154.9752585,166.9752585,160.9752585,162.2637764,160.9752585,4448,-8,4,-0.71148211,-0.71148211,1.957857804,1.206554195,2.011690647,2.011690647,-2.037673652,-7.949052632,-5.881623932,-4.674758621,-3.225323741,-2.297220384,-1.560890961,-0.903776978,-0.320683453,0.284682927,0.917268293,1.769945355,2.423082145,3.419776286,0,0,0,0,0,0.22204878,0.548780488,0.875512195,1.283196721,1.740710383,2.394025798,2.84874406,3.700313199,A07,0515plate_A07,0515plate,MSH3_KO_c4,28,FALSE,FALSE,NA,162.6134208,FALSE,FALSE,hom_edited,likely_peeled,-0.349644493,MSH3,MSH3-/-
0515plate_A08.fsa,162.6011358,4607,163.6011358,3854,60,13,4,154.6011358,166.6011358,160.6011358,161.535802,160.6011358,4607,-9,3,-2.065333809,-2.065333809,2.501892181,0.756589531,0.754069894,0.754069894,-2.689484085,-9,-7.251259446,-6.0535855,-4.676882331,-3.718732629,-2.950380799,-2.303946457,-1.677881485,-1.06989364,-0.356772185,0.536291839,1.134107286,2.121943574,0,0,0,0,0,0,0.07013915,0.374050395,0.67796164,0.981872885,1.608406725,1.931905524,2.746677116,A08,0515plate_A08,0515plate,MSH3_KO_c4,28,FALSE,FALSE,NA,162.6134208,FALSE,FALSE,hom_edited,peeling,-1.077618869,MSH3,MSH3-/-
0515plate_A09.fsa,154.5677016,1838,145.5677016,606,45,37,28,118.5677016,172.5677016,152.6217557,154.6736918,154.5677016,1838,-27,27,9.105990167,9.105990167,10.01391351,10.11189727,14.37921654,14.37921654,-6.064789991,-25.20176471,-1.310770975,0.931722429,3.472433193,5.383869116,7.092956184,8.736942329,10.37808832,12.13895608,14.2105178,17.12184751,19.84779249,24.63582781,0,1.000337838,2.307823961,4.353532782,6.03950829,7.636051026,9.181693989,10.74298491,12.45060471,14.47459547,17.3611437,20.03504155,24.74390728,A09,0515plate_A09,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,146.5042183,TRUE,TRUE,wt,likely_peeled,8.169473484,MSH3,+/+
0515plate_A10.fsa,153.4827458,2632,145.4827458,1025,71,37,28,136.4827458,172.4827458,154.4827458,154.4545918,154.4827458,2632,-9,27,8.971845968,8.971845968,9.438905042,9.876109561,13.98100304,13.98100304,-2.534376603,-7.039019608,-1.967879949,0.246696362,2.887736901,4.928883827,6.674899759,8.301147228,9.91570122,11.71217237,13.9069397,17.13688255,19.96271044,24.61995633,0,0.702672606,1.967960567,4.048747153,5.775826014,7.346884498,8.850478011,10.38570241,12.10764588,14.26862745,17.45225027,20.24545455,24.74541485,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,146.5042183,TRUE,TRUE,wt,likely_peeled,7.950373525,MSH3,+/+
