Well,Time,Region,Min,Max,Mean,Median,Mode,StDev,drug_conc
A2,20,14,23,69,24.3249679384141,24,23,2.1525371676631733,100 nM Bran.
A2,20,15,23,69,24.1589433756391,24,23,1.9665896212205247,100 nM Bran.
A2,20,68,23,69,24.405663890170555,24,23,2.5243623926962933,100 nM Bran.
A2,20,7,23,69,24.316247421434024,24,23,2.14919762792696,100 nM Bran.
A2,20,27,23,69,24.320777259142588,24,23,2.0861339784730215,100 nM Bran.
A2,20,76,23,69,24.388823222978676,24,23,2.112032072927843,100 nM Bran.
A2,20,73,23,69,24.328805351603812,24,23,1.8728870894097491,100 nM Bran.
A2,20,80,23,69,24.341288057368303,24,23,2.107558457897738,100 nM Bran.
A2,20,8,23,69,24.364120878720005,24,23,2.184583468849135,100 nM Bran.
A2,20,3,23,69,24.36192032953561,24,23,2.1164870948415513,100 nM Bran.
A2,20,17,23,69,24.393600681296288,24,23,2.1867379542843253,100 nM Bran.
A2,20,62,23,69,24.33794002717598,24,23,2.0627972305929534,100 nM Bran.
A2,20,28,23,69,24.329932524200142,24,23,2.056655356434663,100 nM Bran.
A2,20,6,23,69,24.402411208862823,24,23,2.2704046591519367,100 nM Bran.
A2,20,36,23,69,24.305746627794548,24,23,2.058504753527775,100 nM Bran.
A2,20,35,23,69,24.358749765885996,24,23,2.108849256889503,100 nM Bran.
A2,20,41,23,69,24.89864141269355,24,23,3.385173495048924,100 nM Bran.
A2,20,48,23,69,24.27404193003047,24,23,2.0558282265743415,100 nM Bran.
A2,20,59,23,69,24.43354485595952,24,23,2.284150823406439,100 nM Bran.
A2,20,16,23,69,24.412680602187805,24,23,2.3267070332219006,100 nM Bran.
A2,20,31,23,69,24.457582747754355,24,23,2.351348266185655,100 nM Bran.
A2,20,77,23,69,24.222578876152667,24,23,1.9208982086574993,100 nM Bran.
A2,20,26,23,69,24.26548432000225,24,23,2.111209580150529,100 nM Bran.
A2,20,32,23,69,24.287924035362337,24,23,2.048139866044837,100 nM Bran.
A2,20,40,23,69,24.300382148160512,24,23,2.295163282542758,100 nM Bran.
A2,20,74,23,69,24.342476904133523,24,23,2.023238111636627,100 nM Bran.
A2,20,60,23,69,24.431774611523753,24,23,2.2644977026636037,100 nM Bran.
A2,20,1,23,69,24.46114816611175,24,23,1.885376208602458,100 nM Bran.
A2,20,53,23,69,24.37141290048892,24,23,2.2023247637730803,100 nM Bran.
A2,20,4,23,69,24.317331130086284,24,23,2.066076615192325,100 nM Bran.
A2,20,24,23,69,24.31289889515004,24,23,2.2265067784718133,100 nM Bran.
A2,20,25,23,69,24.464875302225128,24,23,2.279994580610208,100 nM Bran.
A2,20,38,23,69,24.333034517991575,24,23,2.069860164807766,100 nM Bran.
A2,20,63,23,69,24.370570037307044,24,23,2.246456174736458,100 nM Bran.
A2,20,9,23,69,24.13891720014466,24,23,1.8123043568404464,100 nM Bran.
A2,20,10,23,69,24.209490444401425,24,23,1.830565176039253,100 nM Bran.
A2,20,11,23,69,24.373685734399128,24,23,2.1348824465013645,100 nM Bran.
A2,20,54,23,69,24.431136857349745,24,23,2.356896937829859,100 nM Bran.
A2,20,64,23,69,24.346740449887765,24,23,2.04885185488456,100 nM Bran.
A2,20,50,23,69,24.32101178816769,24,23,2.191570462801831,100 nM Bran.
A2,20,34,23,69,24.35017501205173,24,23,2.2424522437575107,100 nM Bran.
A2,20,55,23,69,24.434493089009433,24,23,2.219696576870436,100 nM Bran.
A2,20,21,23,69,24.296331386821414,24,23,2.0203957181828667,100 nM Bran.
A2,20,56,23,69,24.31546218487395,24,23,2.055518396614858,100 nM Bran.
A2,20,79,23,69,24.313691014494843,24,23,2.1404364937516185,100 nM Bran.
A2,20,19,23,69,24.26225640743559,24,23,2.012421171193764,100 nM Bran.
A2,20,18,23,69,24.361707205030456,24,23,2.1293646796708248,100 nM Bran.
A2,20,65,23,69,24.286264636201768,24,23,2.008489589276909,100 nM Bran.
A2,20,66,23,69,24.27662705766925,24,23,2.0279415280570925,100 nM Bran.
A2,20,75,23,69,24.31494783184609,24,23,2.1010095294560727,100 nM Bran.
A2,20,71,23,69,24.389409404732177,24,23,2.238702095669145,100 nM Bran.
A2,20,30,23,69,24.387976448713975,24,23,2.3384348915894457,100 nM Bran.
A2,20,67,23,69,24.33007697250233,24,23,2.1245100603188987,100 nM Bran.
A2,20,5,23,69,24.40161486443245,24,23,2.200167183709003,100 nM Bran.
A2,20,37,23,69,24.241383337425813,24,23,1.905872957251372,100 nM Bran.
A2,20,69,23,69,24.33574371434608,24,23,2.0468706594556374,100 nM Bran.
A2,20,61,23,68,24.376274119127515,24,23,2.1984904164222128,100 nM Bran.
A2,20,81,23,69,24.263761611850363,24,23,1.990256169138154,100 nM Bran.
A2,20,20,23,69,24.355353868097534,24,23,2.147178884888972,100 nM Bran.
A2,20,70,23,69,24.314066108782676,24,23,2.1237395809135813,100 nM Bran.
A2,20,12,23,69,24.46222544926484,24,23,2.345865703898382,100 nM Bran.
A2,20,33,23,69,24.387003150973623,24,23,2.2213729410315133,100 nM Bran.
A2,20,49,23,69,24.3221215020566,24,23,2.194625381577529,100 nM Bran.
A2,20,52,23,69,24.328601221230624,24,23,1.9663406720436396,100 nM Bran.
A2,20,39,23,69,24.44502516092156,24,23,2.3483365904967752,100 nM Bran.
A2,20,72,23,69,24.24281555675124,24,23,2.0337641728993967,100 nM Bran.
A2,20,42,23,69,24.460722107502654,24,23,2.3785283327762867,100 nM Bran.
A2,20,2,23,69,27.13642092310135,26,23,4.116910275571132,100 nM Bran.
A2,20,78,23,69,24.35762981305697,24,23,2.1257695755489654,100 nM Bran.
A2,20,29,23,69,24.388193147504932,24,23,2.222097130879259,100 nM Bran.
