unique_id,QC_comments,QC_modal_peak_height,QC_peak_number,modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,n_peaks_total,n_peaks_analysis_subset,n_peaks_analysis_subset_expansions,min_repeat,max_repeat,mean_repeat,weighted_mean_repeat,median_repeat,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,percentile_1,percentile_5,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_95,percentile_99,expansion_percentile_1,expansion_percentile_5,expansion_percentile_10,expansion_percentile_20,expansion_percentile_30,expansion_percentile_40,expansion_percentile_50,expansion_percentile_60,expansion_percentile_70,expansion_percentile_80,expansion_percentile_90,expansion_percentile_95,expansion_percentile_99,fsa_id,plate_id,well,cell_line,treatment,repeat_positive_control_TF,repeat_positive_control_length,indices_baseline_control_TF,...9,d0_weighted_mean_repeat,weighted_repeat_gain,day,genotype,normalised_gain
20230413_A01.fsa,NA,NA,NA,130.23938828929556,1051,126.23938828929556,837,34,30,21,117.23938828929556,146.23938828929556,131.73938828929556,130.69013723662766,131.73938828929556,1051,-9,20,4.450748947332102,4.450748947332091,5.73852419410506,6.33691079247875,10.081826831588963,10.081826831588963,-2.536850693500136,-8.120978260869565,-5.063949275362319,-3.2202173913043475,-0.9314217443249702,0.7171489817792074,2.199210266535045,3.6065651760228357,5.026218851570963,6.655423122765198,8.738747884940778,11.861369193154035,14.224278846153844,18.00151162790697,0,0,0.3512325830653805,1.5690742624618514,2.7315893385982237,3.849476688867745,4.9955489614243325,6.282717520858164,7.77856154910097,9.817391304347826,12.647578347578348,14.906971153846154,18.33174418604651,20230413_A01,20230414,A01,CC4,DMSO,NA,NA,NA,NA,125.81332377408606,4.876813462541605,29,WT,1
20230413_A02.fsa,NA,NA,NA,129.4099323900453,1096,125.4099323900453,771,35,33,24,116.4099323900453,148.4099323900453,132.4099323900453,130.92444124775054,132.4099323900453,1096,-9,23,5.514508857705238,5.514508857705251,6.601181027366817,7.263971372011573,10.983576642335766,10.983576642335766,-2.5271707028942707,-7.99608,-4.623139158576052,-2.673654916512059,-0.30635538261997386,1.486624869383491,3.0635036496350367,4.534600389863547,6.157575757575758,7.956264501160094,10.15093062605753,13.421194029850746,16.46797235023041,20.860927835051537,0,0,0.6213058419243989,2.025443786982249,3.2967153284671538,4.528849902534113,5.867293625914316,7.342691415313225,8.973663624511083,11.041325536062379,14.258015267175573,17.085955056179774,21.152530120481924,20230413_A02,20230414,A02,CC4,DMSO,NA,NA,NA,NA,125.81332377408606,5.111117473664478,29,WT,1.048044489075201
20230413_A03.fsa,NA,NA,NA,130.35065676358522,1210,125.35065676358522,827,37,29,21,117.35065676358522,145.35065676358522,131.35065676358522,130.38737209654894,131.35065676358522,1210,-8,20,5.036715332963723,5.036715332963716,6.00067763198423,6.58907031479847,10.236363636363636,10.236363636363636,-2.258660508083141,-6.991363636363636,-4.169266055045871,-2.491822827938671,-0.2628778718258765,1.4468354430379755,2.952346570397112,4.325206611570248,5.68663829787234,7.188888888888891,9.093171471927164,11.947188755020079,14.385129310344823,17.997555555555557,0,0,0.5624076029567054,1.9203505355404091,3.144265080713679,4.291239669421488,5.4272340425531915,6.63574074074074,8.048395061728396,9.893474962063735,12.601012658227848,14.953448275862065,18.268453608247423,20230413_A03,20230414,A03,CC4,DMSO,NA,NA,NA,NA,125.81332377408606,4.574048322462886,29,WT,0.9379174244813272
20230413_A05.fsa,NA,NA,NA,138.021437945676,797,132.021437945676,437,36,36,26,122.02143794567601,157.021437945676,139.521437945676,139.44580637498717,139.521437945676,797,-10,25,7.4243684293111585,7.424368429311157,8.206103875725718,8.741816586222027,13.29736511919699,13.29736511919699,-2.786353467561521,-8.629393939393939,-3.6132183908045974,-1.2182857142857142,1.4521891418563926,3.3767759562841535,5.02685069008783,6.629255989911727,8.301101928374655,10.16053962900506,12.46128364389234,15.777272727272727,18.48435754189944,22.766329113924044,0,0.2639165009940358,1.3493870402802104,3.1120218579234975,4.61417816813049,6.044136191677175,7.5006561679790025,9.049107142857142,10.844013490725127,13.024038461538463,16.243589743589745,18.861731843575416,22.9373417721519,20230413_A05,20230414,A05,CC5,DMSO,NA,NA,NA,NA,133.31509680901274,6.130709565974428,29,WT,0.9210102160996083
20230413_A06.fsa,NA,NA,NA,142.46543337336644,959,132.46543337336644,494,37,37,27,108.46543337336644,158.46543337336644,139.38435229228534,140.49739823641775,140.46543337336644,959,-24,26,8.031964863051314,8.031964863051302,8.909778564021229,9.221263032073843,14.70281543274244,14.70281543274244,-3.935995623632385,-21.161964285714287,-2.6319277108433736,-0.38198380566801615,2.048552338530067,3.865380374862184,5.662513661202187,7.436702127659574,9.158289885297185,10.956436781609197,13.217549668874172,16.538268156424582,19.508767772511845,23.670699999999997,0,0.4143200000000001,1.4947570332480822,3.234619625137817,4.89099890230516,6.534347826086957,8.143528183716075,9.714702815432743,11.455150753768844,13.659271523178809,16.910893854748604,19.824881516587677,23.8041,20230413_A06,20230414,A06,CC5,DMSO,NA,NA,NA,NA,133.31509680901274,7.182301427405008,29,WT,1.0789897839003917
20230413_A07.fsa,NA,NA,NA,135.2026365970044,1240,130.2026365970044,978,38,38,26,118.20263659700441,155.2026365970044,136.7026365970044,136.46096923768266,136.7026365970044,1240,-12,25,6.258332640678248,6.258332640678248,7.812235059429806,8.668732077017616,14.748387096774193,14.748387096774193,-3.391690856313498,-10.162429906542055,-6.1425876010781675,-3.7798761609907117,-0.7153374233128833,1.5349397590361455,3.5525311203319507,5.513934426229508,7.520204603580562,9.651660516605167,12.204271356783922,15.768458781362009,18.554599406528187,22.78041666666667,0,0,0.8984331797235023,2.567166666666667,4.184193548387098,5.771475409836066,7.40153452685422,9.104981549815498,11.008529741863077,13.388352272727275,16.676826722338205,19.268771929824556,23.116271186440674,20230413_A07,20230414,A07,CC6,DMSO,NA,NA,NA,NA,130.22101209127123,6.239957146411427,29,WT,0.9026071072429062
20230413_A08.fsa,NA,NA,NA,135.2026365970044,1230,130.2026365970044,808,41,41,29,118.20263659700441,158.2026365970044,138.2026365970044,137.17803450514447,138.2026365970044,1230,-12,28,6.975397908140053,6.975397908140064,8.393224192814916,9.198083936639268,13.935772357723577,13.935772357723577,-3.521346284165349,-10.389814814814814,-5.983775811209439,-3.2933884297520657,-0.03589108910891092,2.1429848078641656,4.071544715447155,5.891231028667791,7.9527027027027035,10.384074941451992,13.113669064748201,17.207253886010363,20.37406015037594,25.251086956521732,0,0.11612394957983202,1.072873345935728,2.76514745308311,4.343333333333334,5.86795952782462,7.5767374517374515,9.523198198198198,11.671103117505996,14.185223367697597,18.155710306406686,21.060714285714287,25.64445652173913,20230413_A08,20230414,A08,CC6,DMSO,NA,NA,NA,NA,130.22101209127123,6.957022413873233,29,WT,1.0063302886016563
20230413_A09.fsa,NA,NA,NA,137.15152078304772,1284,130.15152078304772,971,38,38,27,119.15152078304772,156.15152078304772,137.65152078304772,137.134271577419,137.65152078304772,1284,-11,26,6.982750794371299,6.982750794371312,8.376758965047662,9.348098351597754,15.914330218068535,15.914330218068535,-3.2388820530849007,-9.393333333333333,-5.696170212765957,-3.4372739916550765,-0.41380020597322287,2.036675235646959,4.238565737051793,6.31619937694704,8.433,10.693750000000001,13.199345692475465,16.735761589403975,19.457441253263703,23.513806451612897,0,0.10738317757009354,1.1158547387068203,3.005409836065574,4.763665338645419,6.461993769470405,8.195833333333333,10.037152777777777,11.960759493670889,14.264393939393939,17.590170132325145,20.08726708074534,23.818193548387093,20230413_A09,20230414,A09,CC6,DMSO,NA,NA,NA,NA,130.22101209127123,6.91325948614778,29,WT,1
20230413_A10.fsa,NA,NA,NA,143.5207979931442,1594,141.5207979931442,1551,36,34,21,128.5207979931442,161.5207979931442,145.0207979931442,144.19982039640288,145.0207979931442,1594,-13,20,2.6790224032586707,2.6790224032586556,5.313319755600815,5.851834178347748,9.517565872020075,9.517565872020075,-3.4635818337617823,-11.679856115107913,-7.604783599088838,-5.555408970976253,-3.0694326841659607,-1.2861035422343314,0.3069118579581485,1.8544542032622333,3.4949083503054985,5.2590266875981175,7.378433367243135,10.507487520798671,13.026315789473681,17.5,0,0,0.07958148383005718,1.141154328732748,2.205823293172691,3.3326544467074,4.502172338884867,5.776295133437991,7.256866734486268,9.15647226173542,11.955445544554458,14.295454545454543,18.146428571428572,20230413_A10,20230414,A10,P3,DMSO,NA,NA,NA,NA,141.07336923050724,3.126451165895645,29,"PMS1
delta PE",0.8871003632270973
20230413_A11.fsa,NA,NA,NA,143.3454658518393,1554,141.3454658518393,1483,32,32,21,130.3454658518393,161.3454658518393,145.8454658518393,144.59771810409154,145.8454658518393,1554,-11,20,3.252252252252248,3.2522522522522523,5.315968142055098,5.942408693027468,9.659588159588159,9.659588159588159,-3.0030398986700444,-9.783212121212122,-6.490645161290322,-4.654578313253012,-2.392006525285481,-0.6755900202292644,0.8690811535881962,2.3589659685863875,3.934231041814316,5.684763432237371,7.819164118246688,10.800148367952522,13.270720720720718,17.634609375,0,0,0.11636485580147557,1.2181467181467183,2.288939790575917,3.4039688164422395,4.603626943005182,5.898957497995188,7.437818552497452,9.363636363636365,11.975915221579964,14.306102362204722,18.16844660194175,20230413_A11,20230414,A11,P3,DMSO,NA,NA,NA,NA,141.07336923050724,3.5243488735843016,29,"PMS1
delta PE",1
