grna,target,editing_outcome,percent_reads,reads,total_reads
"Non-targeting
gRNA",FAN1,Edited,5.22E-04,11,21067
"Non-targeting
gRNA",FAN1,Unedited,0.999477856,21056,21067
"Non-targeting
gRNA",MSH3,Edited,4.59E-04,6,13061
"Non-targeting
gRNA",MSH3,Unedited,0.999540617,13055,13061
"Non-targeting
gRNA",PMS1,Edited,7.21E-04,4,5548
"Non-targeting
gRNA",PMS1,Unedited,0.999279019,5544,5548
"Targeting
gRNA",FAN1,Edited,0.829928216,10521,12677
"Targeting
gRNA",FAN1,Unedited,0.170071784,2156,12677
"Targeting
gRNA",MSH3,Edited,0.330792242,10284,31089
"Targeting
gRNA",MSH3,Unedited,0.669207758,20805,31089
"Targeting
gRNA",PMS1,Edited,0.569325573,1663,2921
"Targeting
gRNA",PMS1,Unedited,0.430674427,1258,2921
