exp,drug_conc,Elapsed,mean_conf,std_dev,number,upper,lower
Branaplam,0,0,13.067319555555557,3.303370721254014,18,14.593398969566472,11.541240141544641
Branaplam,0,2,14.964336333333334,3.9121517836149966,18,16.771658249413804,13.157014417252862
Branaplam,0,4,16.349342,4.599767772193211,18,18.474326295952757,14.224357704047243
Branaplam,0,6,17.50174227777778,5.362216007160208,18,19.97895968766647,15.02452486788909
Branaplam,0,8,18.381115611111113,5.343653339450313,18,20.849757506032944,15.912473716189282
Branaplam,0,10,19.192892222222223,5.460066735079727,18,21.715314362104788,16.67047008233966
Branaplam,0,12,19.72659722222222,4.672205551380489,18,21.885046064828224,17.56814837961622
Branaplam,0,14,21.24174111111111,5.49555215363767,18,23.780556677989445,18.702925544232777
Branaplam,0,16,22.555687222222222,6.549288399461969,18,25.58130409850344,19.530070345941002
Branaplam,0,18,23.99052111111111,6.939097598311528,18,27.19622064960427,20.78482157261795
Branaplam,0,20,25.425174444444444,7.301883519872053,18,28.798472527970517,22.05187636091837
Branaplam,0,22,27.44540111111111,7.672977762313886,18,30.990135988093254,23.900666234128966
Branaplam,0,24,29.155047777777778,7.417286717981698,18,32.58165941882043,25.728436136735127
Branaplam,0,26,31.43870888888889,7.583031699798678,18,34.941890804983956,27.935526972793827
Branaplam,0,28,33.87066333333333,8.324617893269407,18,37.71644059190354,30.024886074763124
Branaplam,0,30,36.13600611111111,9.4130593127184,18,40.48461765131089,31.787394570911324
Branaplam,0,32,38.551470555555554,9.631992745580295,18,43.00122418155867,34.10171692955244
Branaplam,0,34,41.642585555555556,9.90067116432382,18,46.21646227836866,37.06870883274245
Branaplam,0,36,44.507508888888886,10.162928877011721,18,49.20254249364791,39.81247528412986
Branaplam,0,38,47.36982,10.041951710334706,18,52.008965005140666,42.73067499485933
Branaplam,0,40,50.88323944444444,10.49717609011472,18,55.73268738357565,46.03379150531323
Branaplam,0,42,53.76126111111111,10.767048796183053,18,58.73538387964747,48.78713834257475
Branaplam,0,44,56.83860611111111,11.108712238268158,18,61.97056933701165,51.70664288521057
Branaplam,0,46,59.62146,11.369767027147557,18,64.87402438539941,54.368895614600596
Branaplam,0,48,63.128950555555555,11.489831009824949,18,68.43698167108889,57.820919440022216
Branaplam,0,50,66.385345,11.588835388885515,18,71.73911380516326,61.03157619483675
Branaplam,0,52,69.309025,11.26984228337487,18,74.51542650896515,64.10262349103486
Branaplam,0,54,72.56010833333333,11.260568710130913,18,77.76222567003441,67.35799099663225
Branaplam,0,56,75.57770333333333,10.55343326491487,18,80.45314076126171,70.70226590540496
Branaplam,0,58,78.61858555555555,9.92463656744771,18,83.20353372975633,74.03363738135478
Branaplam,0,60,81.0410938888889,9.287989316624511,18,85.33192603874619,76.7502617390316
Branaplam,0,62,83.846125,8.803528132053081,18,87.91314750115363,79.77910249884637
Branaplam,0,64,86.06686722222223,8.142017908626688,18,89.82828759170063,82.30544685274383
Branaplam,0,66,88.04344833333333,7.419053959126222,18,91.47087639813154,84.61602026853512
Branaplam,0,68,89.80776055555556,7.072411492285877,18,93.07504797090641,86.54047314020471
Branaplam,0,70,91.15233277777777,6.042496802628378,18,93.94382388120965,88.36084167434589
Branaplam,0,72,92.70690166666667,5.593778413884324,18,95.29109545062286,90.12270788271047
Branaplam,0,74,93.53950666666667,4.932559466717649,18,95.81823288171434,91.260780451619
Branaplam,0,76,93.89872333333334,4.74580921068634,18,96.09117533172801,91.70627133493866
Branaplam,0,78,94.71304055555555,4.135175238641784,18,96.62339405127925,92.80268705983185
Branaplam,0,80,95.19847555555556,3.7457651595984287,18,96.92893077301068,93.46802033810044
Branaplam,0,82,95.92374277777778,3.07855271055354,18,97.34596156972123,94.501523985834325
Branaplam,0,84,96.32512,2.6872964910766637,18,97.56658764030743,95.08365235969256
Branaplam,25,0,13.957595375,3.061843997061231,24,15.182588100917943,12.732602649082057
Branaplam,25,2,15.788211041666667,3.5303535266069375,24,17.200646617797613,14.375775465535721
Branaplam,25,4,17.088985125,3.7463984984037237,24,18.587856691722312,15.590113558277691
Branaplam,25,6,18.089787916666666,4.06503404268432,24,19.71614025129788,16.46343558203545
Branaplam,25,8,19.18201125,4.327060142605422,24,20.913195857833923,17.450826642166074
Branaplam,25,10,20.433060416666667,4.8348338176076355,24,22.36739680456755,18.498724028765782
Branaplam,25,12,21.73822291666667,5.418165030191999,24,23.9059403954731,19.570505437860238
Branaplam,25,14,22.673299583333332,5.081730906205328,24,24.70641537928792,20.640183787378742
Branaplam,25,16,24.214915,5.918389315449439,24,26.58276387392519,21.84706612607481
Branaplam,25,18,25.433919583333335,5.932867291054556,24,27.807560853872886,23.060278312793784
Branaplam,25,20,27.306083333333333,6.308855665018172,24,29.830151282559722,24.782015384106945
Branaplam,25,22,28.98059125,6.520454521930142,24,31.58931637339284,26.37186612660716
Branaplam,25,24,31.3300075,7.06977558284515,24,34.1585068197465,28.501508180253502
Branaplam,25,26,34.16193583333333,7.537420272167231,24,37.17753199514087,31.146339671525794
Branaplam,25,28,36.575640416666666,7.965554474103935,24,39.76252593338338,33.38875489994995
Branaplam,25,30,39.418555,8.261833738920508,24,42.72397691001074,36.113133089989255
Branaplam,25,32,42.10894208333333,8.61378555870408,24,45.55517404752132,38.662710119145345
Branaplam,25,34,45.07944,9.259029405188166,24,48.78382326750225,41.37505673249775
Branaplam,25,36,48.376038333333334,9.958645498826709,24,52.36032633356035,44.391750333106316
Branaplam,25,38,51.90289583333333,10.254032795890565,24,56.005363365430384,47.80042830123628
Branaplam,25,40,55.90155125,11.097336695476047,24,60.34141060993739,51.4616918900626
Branaplam,25,42,59.067850416666666,11.07487428073525,24,63.49872293903479,54.63697789429854
Branaplam,25,44,62.59860041666666,11.276124706428826,24,67.10998987843442,58.0872109548989
Branaplam,25,46,66.05763125,11.48268120367414,24,70.65166052191466,61.46360197808533
Branaplam,25,48,69.41146416666666,11.46683061246993,24,73.9991518813546,64.82377645197872
Branaplam,25,50,72.92607083333334,11.504801147603333,24,77.52894992595638,68.3231917407103
Branaplam,25,52,76.13411625,11.327924550442212,24,80.66622996557723,71.60200253442278
Branaplam,25,54,79.18239458333333,10.964408501223593,24,83.56907158937388,74.79571757729279
Branaplam,25,56,82.49235125,10.173103812473322,24,86.56244044535056,78.42226205464944
Branaplam,25,58,85.22301416666667,9.444098628804689,24,89.00144054444466,81.44458778888868
Branaplam,25,60,87.67173333333334,8.29016537177934,24,90.98849025721114,84.35497640945553
Branaplam,25,62,89.78196291666667,7.371532993142978,24,92.73119034436428,86.83273548896906
Branaplam,25,64,91.34459458333333,6.787575362606347,24,94.06019030074843,88.62899886591823
Branaplam,25,66,92.59392541666666,5.927742078399322,24,94.96551617508754,90.22233465824579
