exp,drug_conc,Elapsed,mean_count,std_dev,number,upper,lower
Branaplam,0,0,36.833333333333336,19.992752309963134,24,44.83210014649904,28.834566520167634
Branaplam,0,2,39.833333333333336,20.601111550143337,24,48.07549453389467,31.591172132772
Branaplam,0,4,39.375,20.59297579695351,24,47.61390622137658,31.13609377862342
Branaplam,0,6,40.708333333333336,20.255925953455794,24,48.81239153274904,32.60427513391763
Branaplam,0,8,38.833333333333336,20.44221264861058,24,47.01192173308549,30.65474493358119
Branaplam,0,10,37.208333333333336,19.037672415883534,24,44.82498860716492,29.59167805950175
Branaplam,0,12,35.875,19.40038659408621,24,43.63677116814627,28.113228831853732
Branaplam,0,14,34.458333333333336,20.012993967326125,24,42.46519849607334,26.45146817059333
Branaplam,0,16,34.041666666666664,20.197888754642836,24,42.122505150627646,25.960828182705686
Branaplam,0,18,34.166666666666664,21.21661913539082,24,42.65508218828393,25.6782511450494
Branaplam,0,20,32.458333333333336,19.26018458231716,24,40.16401201448778,24.75265465217889
Branaplam,0,22,31.583333333333332,18.391672658798758,24,38.94153487662439,24.22513179004228
Branaplam,0,24,30.791666666666668,17.956418657808488,24,37.97573034217232,23.607602991161013
Branaplam,0,26,30.458333333333332,17.37058775173079,24,37.408015832250015,23.508650834416652
Branaplam,0,28,29.791666666666668,17.348046291871817,24,36.732330703380406,22.85100262995293
Branaplam,0,30,28.291666666666668,17.188163689425718,24,35.16836434023934,21.414968993093996
Branaplam,0,32,27.666666666666668,16.169393166174135,24,34.13577124223676,21.19756209109658
Branaplam,0,34,26.375,15.248128894477798,24,32.47552210286433,20.274477897135668
Branaplam,0,36,24.958333333333332,15.820952443891741,24,31.288032586287635,18.62863408037903
Branaplam,0,38,24.375,15.942321308255337,24,30.75325691171844,17.99674308828156
Branaplam,0,40,23.333333333333332,16.212358857061638,24,29.819627765359773,16.84703890130689
Branaplam,0,42,22.375,15.841092682997102,24,28.712757026774913,16.037242973225087
Branaplam,0,44,21.041666666666668,15.459566242485495,24,27.22678132667807,14.856552006655267
Branaplam,0,46,19.833333333333332,15.216314661706296,24,25.921127092179105,13.745539574487559
Branaplam,0,48,18.916666666666668,14.696691927885963,24,24.796568034599495,13.036765298733838
Branaplam,0,50,18.375,15.341935992566258,24,24.51305275854376,12.236947241456239
Branaplam,0,52,17.208333333333332,14.470296913112156,24,22.997657831070235,11.419008835596431
Branaplam,0,54,16.083333333333332,14.11726253383691,24,21.731414662892426,10.435252003774238
Branaplam,0,56,15.833333333333334,13.483215545606152,24,21.227743035853837,10.43892363081283
Branaplam,0,58,15,13.660479334641735,24,20.46532998857873,9.53467001142127
Branaplam,0,60,14.291666666666666,13.339966647069533,24,19.628764873607533,8.954568459725799
Branaplam,0,62,13.625,12.76480385244146,24,18.731985163848442,8.518014836151556
Branaplam,0,64,13,12.998327651630053,24,18.200414141813788,7.799585858186214
Branaplam,0,66,12.125,11.410569089949973,24,16.690178417708037,7.559821582291963
Branaplam,0,68,11.625,11.477056507962159,24,16.21677892495405,7.033221075045949
Branaplam,0,70,10.5,10.400668874811767,24,14.661134182066162,6.338865817933838
Branaplam,0,72,9.458333333333334,9.731076023734998,24,13.35157458137576,5.5650920852909085
Branaplam,0,74,8.916666666666666,9.72632763561676,24,12.808008163803995,5.025325169529337
Branaplam,0,76,8.416666666666666,9.491033144232905,24,12.213870761418233,4.619462571915099
Branaplam,0,78,7.833333333333333,9.411679454004345,24,11.59878933987465,4.067877326792018
Branaplam,0,80,7.416666666666667,9.690500353513707,24,11.29367426566687,3.539659067666464
Branaplam,0,82,6.958333333333333,8.80947694576534,24,10.482858158263056,3.4338085084036094
Branaplam,0,84,6.375,8.229387953363027,24,9.667440892253877,3.0825591077461234
Branaplam,25,0,37.875,18.178612612675895,24,45.147959771687155,30.60204022831284
Branaplam,25,2,42.166666666666664,20.044877187183648,24,50.18628777400796,34.14704555932537
Branaplam,25,4,42.166666666666664,20.695865301545382,24,50.446737263112425,33.886596070220904
Branaplam,25,6,41.708333333333336,18.903597924542133,24,49.27134763891768,34.14531902774899
Branaplam,25,8,41.625,18.96865263029232,24,49.2140416085453,34.0359583914547
Branaplam,25,10,41.125,17.886872767236433,24,48.28123952438952,33.96876047561048
Branaplam,25,12,39.541666666666664,17.80077957908553,24,46.66346174211066,32.419871591222666
Branaplam,25,14,38.583333333333336,17.820156312852387,24,45.71288071684372,31.453785949822947
Branaplam,25,16,37.958333333333336,18.58348768376791,24,45.39327686953275,30.523389797133923
Branaplam,25,18,35.791666666666664,17.62897606503138,24,42.844726021020534,28.73860731231279
Branaplam,25,20,35.875,18.709013173148485,24,43.36016419131968,28.389835808680314
Branaplam,25,22,35.291666666666664,18.034939921469505,24,42.5071453903939,28.07618794293943
Branaplam,25,24,34.458333333333336,17.29784899084695,24,41.37891426696436,27.537752399702317
Branaplam,25,26,33.416666666666664,16.428809972163208,24,39.98955958044813,26.843773752885195
